valid_time,latitude,longitude,tp,number,expver,location
01-01-2014 00:00,13,77.5,9.54E-07,0,1,bangalore
01-01-2014 00:00,13,77.75,3.43E-05,0,1,bangalore
01-01-2014 00:00,12.75,77.5,4.77E-07,0,1,bangalore
01-01-2014 00:00,12.75,77.75,4.01E-05,0,1,bangalore
01-01-2014 06:00,13,77.5,0,0,1,bangalore
01-01-2014 06:00,13,77.75,0,0,1,bangalore
01-01-2014 06:00,12.75,77.5,0,0,1,bangalore
01-01-2014 06:00,12.75,77.75,0,0,1,bangalore
01-01-2014 12:00,13,77.5,0,0,1,bangalore
01-01-2014 12:00,13,77.75,0,0,1,bangalore
01-01-2014 12:00,12.75,77.5,0,0,1,bangalore
01-01-2014 12:00,12.75,77.75,0,0,1,bangalore
01-01-2014 18:00,13,77.5,0,0,1,bangalore
01-01-2014 18:00,13,77.75,0,0,1,bangalore
01-01-2014 18:00,12.75,77.5,4.77E-07,0,1,bangalore
01-01-2014 18:00,12.75,77.75,4.77E-07,0,1,bangalore
02-01-2014 00:00,13,77.5,0,0,1,bangalore
02-01-2014 00:00,13,77.75,0,0,1,bangalore
02-01-2014 00:00,12.75,77.5,4.77E-07,0,1,bangalore
02-01-2014 00:00,12.75,77.75,4.77E-07,0,1,bangalore
02-01-2014 06:00,13,77.5,0,0,1,bangalore
02-01-2014 06:00,13,77.75,0,0,1,bangalore
02-01-2014 06:00,12.75,77.5,0,0,1,bangalore
02-01-2014 06:00,12.75,77.75,0,0,1,bangalore
02-01-2014 12:00,13,77.5,0,0,1,bangalore
02-01-2014 12:00,13,77.75,0,0,1,bangalore
02-01-2014 12:00,12.75,77.5,0,0,1,bangalore
02-01-2014 12:00,12.75,77.75,0,0,1,bangalore
02-01-2014 18:00,13,77.5,0,0,1,bangalore
02-01-2014 18:00,13,77.75,0,0,1,bangalore
02-01-2014 18:00,12.75,77.5,0,0,1,bangalore
02-01-2014 18:00,12.75,77.75,0,0,1,bangalore
03-01-2014 00:00,13,77.5,0,0,1,bangalore
03-01-2014 00:00,13,77.75,0,0,1,bangalore
03-01-2014 00:00,12.75,77.5,0,0,1,bangalore
03-01-2014 00:00,12.75,77.75,0,0,1,bangalore
03-01-2014 06:00,13,77.5,0,0,1,bangalore
03-01-2014 06:00,13,77.75,0,0,1,bangalore
03-01-2014 06:00,12.75,77.5,0,0,1,bangalore
03-01-2014 06:00,12.75,77.75,0,0,1,bangalore
03-01-2014 12:00,13,77.5,0,0,1,bangalore
03-01-2014 12:00,13,77.75,0,0,1,bangalore
03-01-2014 12:00,12.75,77.5,0,0,1,bangalore
03-01-2014 12:00,12.75,77.75,0,0,1,bangalore
03-01-2014 18:00,13,77.5,0,0,1,bangalore
03-01-2014 18:00,13,77.75,0,0,1,bangalore
03-01-2014 18:00,12.75,77.5,0,0,1,bangalore
03-01-2014 18:00,12.75,77.75,0,0,1,bangalore
04-01-2014 00:00,13,77.5,0,0,1,bangalore
04-01-2014 00:00,13,77.75,0,0,1,bangalore
04-01-2014 00:00,12.75,77.5,0,0,1,bangalore
04-01-2014 00:00,12.75,77.75,0,0,1,bangalore
04-01-2014 06:00,13,77.5,0,0,1,bangalore
04-01-2014 06:00,13,77.75,0,0,1,bangalore
04-01-2014 06:00,12.75,77.5,0,0,1,bangalore
04-01-2014 06:00,12.75,77.75,0,0,1,bangalore
04-01-2014 12:00,13,77.5,0,0,1,bangalore
04-01-2014 12:00,13,77.75,0,0,1,bangalore
04-01-2014 12:00,12.75,77.5,0,0,1,bangalore
04-01-2014 12:00,12.75,77.75,0,0,1,bangalore
04-01-2014 18:00,13,77.5,0,0,1,bangalore
04-01-2014 18:00,13,77.75,0,0,1,bangalore
04-01-2014 18:00,12.75,77.5,0,0,1,bangalore
04-01-2014 18:00,12.75,77.75,0,0,1,bangalore
05-01-2014 00:00,13,77.5,0,0,1,bangalore
05-01-2014 00:00,13,77.75,0,0,1,bangalore
05-01-2014 00:00,12.75,77.5,0,0,1,bangalore
05-01-2014 00:00,12.75,77.75,0,0,1,bangalore
05-01-2014 06:00,13,77.5,0,0,1,bangalore
05-01-2014 06:00,13,77.75,0,0,1,bangalore
05-01-2014 06:00,12.75,77.5,0,0,1,bangalore
05-01-2014 06:00,12.75,77.75,0,0,1,bangalore
05-01-2014 12:00,13,77.5,0,0,1,bangalore
05-01-2014 12:00,13,77.75,0,0,1,bangalore
05-01-2014 12:00,12.75,77.5,0,0,1,bangalore
05-01-2014 12:00,12.75,77.75,0,0,1,bangalore
05-01-2014 18:00,13,77.5,0,0,1,bangalore
05-01-2014 18:00,13,77.75,0,0,1,bangalore
05-01-2014 18:00,12.75,77.5,0,0,1,bangalore
05-01-2014 18:00,12.75,77.75,0,0,1,bangalore
06-01-2014 00:00,13,77.5,0,0,1,bangalore
06-01-2014 00:00,13,77.75,0,0,1,bangalore
06-01-2014 00:00,12.75,77.5,0,0,1,bangalore
06-01-2014 00:00,12.75,77.75,0,0,1,bangalore
06-01-2014 06:00,13,77.5,0,0,1,bangalore
06-01-2014 06:00,13,77.75,0,0,1,bangalore
06-01-2014 06:00,12.75,77.5,0,0,1,bangalore
06-01-2014 06:00,12.75,77.75,0,0,1,bangalore
06-01-2014 12:00,13,77.5,0,0,1,bangalore
06-01-2014 12:00,13,77.75,0,0,1,bangalore
06-01-2014 12:00,12.75,77.5,0,0,1,bangalore
06-01-2014 12:00,12.75,77.75,0,0,1,bangalore
06-01-2014 18:00,13,77.5,0,0,1,bangalore
06-01-2014 18:00,13,77.75,0,0,1,bangalore
06-01-2014 18:00,12.75,77.5,0,0,1,bangalore
06-01-2014 18:00,12.75,77.75,0,0,1,bangalore
07-01-2014 00:00,13,77.5,0,0,1,bangalore
07-01-2014 00:00,13,77.75,0,0,1,bangalore
07-01-2014 00:00,12.75,77.5,0,0,1,bangalore
07-01-2014 00:00,12.75,77.75,0,0,1,bangalore
07-01-2014 06:00,13,77.5,0,0,1,bangalore
07-01-2014 06:00,13,77.75,0,0,1,bangalore
07-01-2014 06:00,12.75,77.5,0,0,1,bangalore
07-01-2014 06:00,12.75,77.75,0,0,1,bangalore
07-01-2014 12:00,13,77.5,0,0,1,bangalore
07-01-2014 12:00,13,77.75,0,0,1,bangalore
07-01-2014 12:00,12.75,77.5,0,0,1,bangalore
07-01-2014 12:00,12.75,77.75,0,0,1,bangalore
07-01-2014 18:00,13,77.5,0,0,1,bangalore
07-01-2014 18:00,13,77.75,0,0,1,bangalore
07-01-2014 18:00,12.75,77.5,0,0,1,bangalore
07-01-2014 18:00,12.75,77.75,0,0,1,bangalore
08-01-2014 00:00,13,77.5,0,0,1,bangalore
08-01-2014 00:00,13,77.75,0,0,1,bangalore
08-01-2014 00:00,12.75,77.5,0,0,1,bangalore
08-01-2014 00:00,12.75,77.75,0,0,1,bangalore
08-01-2014 06:00,13,77.5,0,0,1,bangalore
08-01-2014 06:00,13,77.75,0,0,1,bangalore
08-01-2014 06:00,12.75,77.5,0,0,1,bangalore
08-01-2014 06:00,12.75,77.75,0,0,1,bangalore
08-01-2014 12:00,13,77.5,0,0,1,bangalore
08-01-2014 12:00,13,77.75,0,0,1,bangalore
08-01-2014 12:00,12.75,77.5,0,0,1,bangalore
08-01-2014 12:00,12.75,77.75,0,0,1,bangalore
08-01-2014 18:00,13,77.5,0,0,1,bangalore
08-01-2014 18:00,13,77.75,0,0,1,bangalore
08-01-2014 18:00,12.75,77.5,0,0,1,bangalore
08-01-2014 18:00,12.75,77.75,0,0,1,bangalore
09-01-2014 00:00,13,77.5,0,0,1,bangalore
09-01-2014 00:00,13,77.75,0,0,1,bangalore
09-01-2014 00:00,12.75,77.5,0,0,1,bangalore
09-01-2014 00:00,12.75,77.75,0,0,1,bangalore
09-01-2014 06:00,13,77.5,0,0,1,bangalore
09-01-2014 06:00,13,77.75,0,0,1,bangalore
09-01-2014 06:00,12.75,77.5,0,0,1,bangalore
